sequence,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeRAJvhFUiBGjB9qBT?mB/tBywB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFxhBXjBimB9?tB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFNmBaoB5oBX?nB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFXiBdoB5oBe?rBUlBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFOnBXjBTmB9?tBUlBRwB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KefGJvhF6mBNnBToBU?lBGtBRwB
OJLISZT,X,X,O,X,X,X
OJLIZTS,X,O,O,O,X,X
OJLIZST,X,X,O,X,X,X
OJLSTIZ,X,O,X,O,X,X
OJLSTZI,X,O,X,O,X,X
OJLSITZ,X,O,X,O,X,X
OJLSIZT,X,X,O,X,X,X
OJLSZTI,X,X,O,O,X,X
OJLSZIT,X,X,O,X,X,X
OJLZTIS,X,O,O,O,X,X
OJLZTSI,X,O,O,O,X,X
OJLZITS,X,O,O,O,X,X
OJLZIST,X,X,O,X,X,X
OJLZSTI,X,X,O,O,X,X
OJLZSIT,X,X,O,X,X,X
OJSTILZ,X,O,X,O,X,X
OJSTIZL,X,O,X,O,X,X
OJSTLIZ,X,O,X,O,X,X
OJSTLZI,X,O,X,O,X,X
OJSTZIL,X,O,X,O,X,X
OJSTZLI,X,O,X,O,X,X
OJSITLZ,X,X,X,O,X,X
OJSITZL,X,X,X,O,X,X
OJSILTZ,X,X,X,O,X,X
OJSILZT,X,X,O,X,X,X
OJSIZTL,X,X,O,X,X,X
OJSIZLT,X,X,O,X,X,X
OJSLTIZ,X,O,X,O,X,X
OJSLTZI,X,O,X,O,X,X
OJSLITZ,X,O,X,O,X,X
OJSLIZT,X,X,O,X,X,X
OJSLZTI,X,X,O,O,X,X
OJSLZIT,X,X,O,X,X,X
OJSZTIL,X,X,O,O,X,X
OJSZTLI,X,X,O,O,X,X
OJSZITL,X,X,O,X,X,X
OJSZILT,X,X,O,X,X,X
OJSZLTI,X,X,O,O,X,X
OJSZLIT,X,X,O,X,X,X
OJZTILS,X,O,O,O,X,X
OJZTISL,X,O,O,O,X,X
OJZTLIS,X,O,O,O,X,X
OJZTLSI,X,O,O,O,X,X
OJZTSIL,X,O,O,O,X,X
OJZTSLI,X,O,O,O,X,X
OJZITLS,X,O,O,O,X,X
OJZITSL,X,O,O,O,X,X
OJZILTS,X,O,O,O,X,X
OJZILST,X,O,O,X,X,X
OJZISTL,X,X,O,X,X,X
OJZISLT,X,X,O,X,X,X
OJZLTIS,X,O,O,O,X,X
OJZLTSI,X,O,O,O,X,X
OJZLITS,X,O,O,O,X,X
OJZLIST,X,O,O,X,X,X
OJZLSTI,X,O,O,O,X,X
OJZLSIT,X,O,O,X,X,X
OJZSTIL,X,O,O,O,X,X
OJZSTLI,X,O,O,O,X,X
OJZSITL,X,X,O,X,X,X
OJZSILT,X,X,O,X,X,X
OJZSLTI,X,O,O,O,X,X
OJZSLIT,X,O,O,X,X,X
OSTILJZ,O,O,X,O,X,O
OSTILZJ,O,O,X,X,X,O
OSTIJLZ,O,O,X,O,X,O
OSTIJZL,O,O,X,O,X,X
OSTIZLJ,X,O,X,X,X,O
OSTIZJL,O,O,X,O,X,X
OSTLIJZ,O,O,X,O,X,X
OSTLIZJ,O,O,X,X,X,X
OSTLJIZ,O,O,X,O,X,X
OSTLJZI,O,O,X,O,X,X
OSTLZIJ,O,O,X,X,X,X
OSTLZJI,O,O,X,X,X,X
OSTJILZ,O,O,X,O,X,X
OSTJIZL,O,O,X,O,X,X
OSTJLIZ,O,O,X,O,X,X
OSTJLZI,O,O,X,O,X,X
OSTJZIL,O,O,X,O,X,X
OSTJZLI,O,O,X,O,X,X
OSTZILJ,X,O,X,X,X,X
OSTZIJL,O,O,X,O,X,X
OSTZLIJ,O,O,X,X,X,X
OSTZLJI,O,O,X,X,X,X
OSTZJIL,O,O,X,O,X,X
OSTZJLI,O,O,X,O,X,X
OSITLJZ,O,X,X,O,X,O
OSITLZJ,O,X,X,X,X,O
OSITJLZ,O,X,X,O,X,O
OSITJZL,O,X,X,O,X,X
OSITZLJ,X,X,X,X,X,O
OSITZJL,O,X,X,O,X,X
OSILTJZ,O,X,X,X,X,O
OSILTZJ,O,X,X,X,X,O
OSILJTZ,O,X,X,X,X,O
OSILJZT,O,X,O,X,X,X
OSILZTJ,X,X,O,X,X,O
OSILZJT,O,X,O,X,X,X
OSIJTLZ,O,X,X,O,X,O
OSIJTZL,O,X,X,O,X,X
OSIJLTZ,O,X,X,O,X,O
OSIJLZT,O,X,O,X,X,X
OSIJZTL,O,X,O,X,X,X
OSIJZLT,O,X,O,X,X,X
OSIZTLJ,X,X,O,X,X,O
OSIZTJL,X,X,O,X,X,X
OSIZLTJ,X,X,O,X,X,O
OSIZLJT,X,X,O,X,X,X
OSIZJTL,O,X,O,X,X,X
OSIZJLT,O,X,O,X,X,X
OSLTIJZ,O,O,X,O,X,X
OSLTIZJ,O,O,X,X,X,X
OSLTJIZ,O,O,X,O,X,X
OSLTJZI,O,O,X,O,X,X
OSLTZIJ,O,O,X,X,X,X
OSLTZJI,O,O,X,X,X,X
OSLITJZ,O,O,X,X,X,X
OSLITZJ,O,O,X,X,X,X
OSLIJTZ,O,O,X,X,X,X
OSLIJZT,O,X,O,X,X,X
OSLIZTJ,X,X,O,X,X,X
OSLIZJT,O,X,O,X,X,X
OSLJTIZ,O,O,X,O,X,X
OSLJTZI,O,O,X,O,X,X
OSLJITZ,O,O,X,O,X,X
OSLJIZT,O,X,O,X,X,X
OSLJZTI,O,X,O,O,X,X
OSLJZIT,O,X,O,X,X,X
OSLZTIJ,O,X,O,X,X,X
OSLZTJI,O,X,O,X,X,X
OSLZITJ,X,X,O,X,X,X
OSLZIJT,O,X,O,X,X,X
OSLZJTI,O,X,O,X,X,X
OSLZJIT,O,X,O,X,X,X
OSJTILZ,O,O,X,O,X,X
OSJTIZL,O,O,X,O,X,X
OSJTLIZ,O,O,X,O,X,X
OSJTLZI,O,O,X,O,X,X
OSJTZIL,O,O,X,O,X,X
OSJTZLI,O,O,X,O,X,X
OSJITLZ,O,X,X,O,X,X
OSJITZL,O,X,X,O,X,X
OSJILTZ,O,X,X,O,X,X
OSJILZT,O,X,O,X,X,X
OSJIZTL,O,X,O,X,X,X
OSJIZLT,O,X,O,X,X,X
OSJLTIZ,O,O,X,O,X,X
OSJLTZI,O,O,X,O,X,X
OSJLITZ,O,O,X,O,X,X
OSJLIZT,O,X,O,X,X,X
OSJLZTI,O,X,O,O,X,X
OSJLZIT,O,X,O,X,X,X
OSJZTIL,O,X,O,O,X,X
OSJZTLI,O,X,O,O,X,X
OSJZITL,O,X,O,X,X,X
OSJZILT,O,X,O,X,X,X
OSJZLTI,O,X,O,O,X,X
OSJZLIT,O,X,O,X,X,X
OSZTILJ,X,O,O,X,X,X
OSZTIJL,O,O,O,O,X,X
OSZTLIJ,O,O,O,X,X,X
OSZTLJI,O,O,O,X,X,X
OSZTJIL,O,O,O,O,X,X
OSZTJLI,O,O,O,O,X,X
OSZITLJ,X,X,O,X,X,X
OSZITJL,X,X,O,X,X,X
OSZILTJ,X,X,O,X,X,X
OSZILJT,X,X,O,X,X,X
OSZIJTL,O,X,O,X,X,X
OSZIJLT,O,X,O,X,X,X
OSZLTIJ,O,O,O,X,X,X
OSZLTJI,O,O,O,X,X,X
OSZLITJ,X,O,O,X,X,X
OSZLIJT,O,O,O,X,X,X
OSZLJTI,O,O,O,X,X,X
OSZLJIT,O,O,O,X,X,X
OSZJTIL,O,O,O,O,X,X
OSZJTLI,O,O,O,O,X,X
OSZJITL,O,X,O,X,X,X
OSZJILT,O,X,O,X,X,X
OSZJLTI,O,O,O,O,X,X
OSZJLIT,O,O,O,X,X,X
OZTILJS,X,O,O,X,X,X
OZTILSJ,X,O,O,X,X,O
OZTIJLS,X,O,O,O,X,X
OZTIJSL,X,O,O,O,X,X
OZTISLJ,X,O,O,X,X,O
OZTISJL,O,O,O,O,X,X
OZTLIJS,X,O,O,X,X,X
OZTLISJ,O,O,O,X,X,X
OZTLJIS,X,O,O,X,X,X
OZTLJSI,X,O,O,X,X,X
OZTLSIJ,O,O,O,X,X,X
OZTLSJI,O,O,O,X,X,X
OZTJILS,X,O,O,O,X,X
OZTJISL,X,O,O,O,X,X
OZTJLIS,X,O,O,O,X,X
OZTJLSI,X,O,O,O,X,X
OZTJSIL,X,O,O,O,X,X
OZTJSLI,X,O,O,O,X,X
OZTSILJ,X,O,O,X,X,X
OZTSIJL,O,O,O,O,X,X
OZTSLIJ,O,O,O,X,X,X
OZTSLJI,O,O,O,X,X,X
OZTSJIL,O,O,O,O,X,X
OZTSJLI,O,O,O,O,X,X
OZITLJS,X,O,O,X,X,X
OZITLSJ,X,O,O,X,X,O
OZITJLS,X,O,O,O,X,X
OZITJSL,X,O,O,O,X,X
OZITSLJ,X,O,O,X,X,O
OZITSJL,X,O,O,O,X,X
OZILTJS,X,O,O,X,X,X
OZILTSJ,X,O,O,X,X,O
OZILJTS,X,O,O,X,X,X
OZILJST,X,O,O,X,X,X
OZILSTJ,X,O,O,X,X,O
OZILSJT,X,O,O,X,X,X
OZIJTLS,X,O,O,O,X,X
OZIJTSL,X,O,O,O,X,X
OZIJLTS,X,O,O,O,X,X
OZIJLST,X,O,O,X,X,X
OZIJSTL,X,X,O,X,X,X
OZIJSLT,X,X,O,X,X,X
OZISTLJ,X,X,O,X,X,O
OZISTJL,X,X,O,X,X,X
OZISLTJ,X,X,O,X,X,O
OZISLJT,X,X,O,X,X,X
OZISJTL,O,X,O,X,X,X
OZISJLT,O,X,O,X,X,X
OZLTIJS,X,O,O,X,X,X
OZLTISJ,O,O,O,X,X,X
OZLTJIS,X,O,O,X,X,X
OZLTJSI,X,O,O,X,X,X
OZLTSIJ,O,O,O,X,X,X
OZLTSJI,O,O,O,X,X,X
OZLITJS,X,O,O,X,X,X
OZLITSJ,X,O,O,X,X,X
OZLIJTS,X,O,O,X,X,X
OZLIJST,X,O,O,X,X,X
OZLISTJ,X,O,O,X,X,X
OZLISJT,O,O,O,X,X,X
OZLJTIS,X,O,O,X,X,X
OZLJTSI,X,O,O,X,X,X
OZLJITS,X,O,O,X,X,X
OZLJIST,X,O,O,X,X,X
OZLJSTI,X,O,O,X,X,X
OZLJSIT,X,O,O,X,X,X
OZLSTIJ,O,O,O,X,X,X
OZLSTJI,O,O,O,X,X,X
OZLSITJ,X,O,O,X,X,X
OZLSIJT,O,O,O,X,X,X
OZLSJTI,O,O,O,X,X,X
OZLSJIT,O,O,O,X,X,X
OZJTILS,X,O,O,O,X,X
OZJTISL,X,O,O,O,X,X
OZJTLIS,X,O,O,O,X,X
OZJTLSI,X,O,O,O,X,X
OZJTSIL,X,O,O,O,X,X
OZJTSLI,X,O,O,O,X,X
OZJITLS,X,O,O,O,X,X
OZJITSL,X,O,O,O,X,X
OZJILTS,X,O,O,O,X,X
OZJILST,X,O,O,X,X,X
OZJISTL,X,X,O,X,X,X
OZJISLT,X,X,O,X,X,X
OZJLTIS,X,O,O,O,X,X
OZJLTSI,X,O,O,O,X,X
OZJLITS,X,O,O,O,X,X
OZJLIST,X,O,O,X,X,X
OZJLSTI,X,O,O,O,X,X
OZJLSIT,X,O,O,X,X,X
OZJSTIL,X,O,O,O,X,X
OZJSTLI,X,O,O,O,X,X
OZJSITL,X,X,O,X,X,X
OZJSILT,X,X,O,X,X,X
OZJSLTI,X,O,O,O,X,X
OZJSLIT,X,O,O,X,X,X
OZSTILJ,X,O,O,X,X,X
OZSTIJL,O,O,O,O,X,X
OZSTLIJ,O,O,O,X,X,X
OZSTLJI,O,O,O,X,X,X
OZSTJIL,O,O,O,O,X,X
OZSTJLI,O,O,O,O,X,X
OZSITLJ,X,X,O,X,X,X
OZSITJL,X,X,O,X,X,X
OZSILTJ,X,X,O,X,X,X
OZSILJT,X,X,O,X,X,X
OZSIJTL,O,X,O,X,X,X
OZSIJLT,O,X,O,X,X,X
OZSLTIJ,O,O,O,X,X,X
OZSLTJI,O,O,O,X,X,X
OZSLITJ,X,O,O,X,X,X
OZSLIJT,O,O,O,X,X,X
OZSLJTI,O,O,O,X,X,X
OZSLJIT,O,O,O,X,X,X
OZSJTIL,O,O,O,O,X,X
OZSJTLI,O,O,O,O,X,X
OZSJITL,O,X,O,X,X,X
OZSJILT,O,X,O,X,X,X
OZSJLTI,O,O,O,O,X,X
OZSJLIT,O,O,O,X,X,X
