sequence,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBOhBTeBt?mB0nBXsB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBdiBGeB/?mBznB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFdiBqiBTeBO?kB/mB0rB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhBCeBOkB8?mBXoBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8Jex6IvhFNhB3dBcjBO?kBCnBzrB,v115@/gB8GeC8EeA8AeD8AeI8BeC8JeZ/IvhFCbBNhBWjB8?mBXoBzrB
OJLITZS,O,O,O,X,O,O
OJLISTZ,O,O,O,X,X,X
OJLISZT,X,O,O,X,X,X
OJLIZTS,O,O,O,X,O,O
OJLIZST,X,O,O,X,O,X
OJLSTIZ,O,O,O,X,X,X
OJLSTZI,O,O,O,X,X,X
OJLSITZ,O,O,O,X,X,X
OJLSIZT,X,O,O,X,X,X
OJLSZTI,X,O,O,X,X,X
OJLSZIT,X,O,O,X,X,X
OJLZTIS,O,O,O,X,O,O
OJLZTSI,O,O,O,X,O,X
OJLZITS,O,O,O,X,O,O
OJLZIST,X,O,O,X,O,X
OJLZSTI,X,O,O,X,O,X
OJLZSIT,X,O,O,X,O,X
OJSTILZ,O,O,O,O,X,X
OJSTIZL,O,O,X,O,X,X
OJSTLIZ,O,O,O,O,X,X
OJSTLZI,O,O,O,O,X,X
OJSTZIL,O,O,X,O,X,X
OJSTZLI,O,O,X,O,X,X
OJSITLZ,O,O,O,O,X,X
OJSITZL,O,O,X,O,X,X
OJSILTZ,O,O,O,O,X,X
OJSILZT,X,O,O,O,X,X
OJSIZTL,X,O,X,O,X,X
OJSIZLT,X,O,O,O,X,X
OJSLTIZ,O,O,O,O,X,X
OJSLTZI,O,O,O,O,X,X
OJSLITZ,O,O,O,O,X,X
OJSLIZT,X,O,O,O,X,X
OJSLZTI,X,O,O,O,X,X
OJSLZIT,X,O,O,O,X,X
OJSZTIL,X,O,X,O,X,X
OJSZTLI,X,O,X,O,X,X
OJSZITL,X,O,X,O,X,X
OJSZILT,X,O,O,O,X,X
OJSZLTI,X,O,O,O,X,X
OJSZLIT,X,O,O,O,X,X
OJZTILS,O,O,X,X,O,O
OJZTISL,O,O,X,O,O,X
OJZTLIS,O,O,X,X,O,O
OJZTLSI,O,O,X,X,O,X
OJZTSIL,O,O,X,O,O,X
OJZTSLI,O,O,X,O,O,X
OJZITLS,O,O,X,X,O,O
OJZITSL,O,O,X,O,O,X
OJZILTS,O,O,O,X,O,O
OJZILST,X,O,O,X,O,X
OJZISTL,X,O,X,O,O,X
OJZISLT,X,O,O,O,O,X
OJZLTIS,O,O,O,X,O,O
OJZLTSI,O,O,O,X,O,X
OJZLITS,O,O,O,X,O,O
OJZLIST,X,O,O,X,O,X
OJZLSTI,X,O,O,X,O,X
OJZLSIT,X,O,O,X,O,X
OJZSTIL,X,O,X,O,O,X
OJZSTLI,X,O,X,O,O,X
OJZSITL,X,O,X,O,O,X
OJZSILT,X,O,O,O,O,X
OJZSLTI,X,O,O,O,O,X
OJZSLIT,X,O,O,O,O,X
OSTILJZ,O,O,X,X,X,X
OSTILZJ,X,O,X,X,X,X
OSTIJLZ,O,O,X,X,X,X
OSTIJZL,O,O,X,X,X,X
OSTIZLJ,X,O,X,X,X,X
OSTIZJL,X,O,X,X,X,X
OSTLIJZ,O,O,O,X,X,X
OSTLIZJ,X,O,X,X,X,X
OSTLJIZ,O,O,O,O,X,X
OSTLJZI,O,O,O,O,X,X
OSTLZIJ,X,O,X,X,X,X
OSTLZJI,X,O,O,O,X,X
OSTJILZ,O,O,O,O,X,X
OSTJIZL,O,O,X,O,X,X
OSTJLIZ,O,O,O,O,X,X
OSTJLZI,O,O,O,O,X,X
OSTJZIL,O,O,X,O,X,X
OSTJZLI,O,O,X,O,X,X
OSTZILJ,X,O,X,X,X,X
OSTZIJL,X,O,X,X,X,X
OSTZLIJ,X,O,X,X,X,X
OSTZLJI,X,O,X,O,X,X
OSTZJIL,X,O,X,O,X,X
OSTZJLI,X,O,X,O,X,X
OSITLJZ,O,O,X,X,X,X
OSITLZJ,X,O,X,X,X,X
OSITJLZ,O,O,X,X,X,X
OSITJZL,O,O,X,X,X,X
OSITZLJ,X,O,X,X,X,X
OSITZJL,X,O,X,X,X,X
OSILTJZ,O,O,O,X,X,X
OSILTZJ,X,O,X,X,X,X
OSILJTZ,O,O,O,X,X,X
OSILJZT,X,O,O,X,X,X
OSILZTJ,O,O,X,X,X,X
OSILZJT,X,O,X,X,X,X
OSIJTLZ,O,O,O,X,X,X
OSIJTZL,O,O,X,X,X,X
OSIJLTZ,O,O,O,X,X,X
OSIJLZT,X,O,O,X,X,X
OSIJZTL,X,O,X,X,X,X
OSIJZLT,X,O,O,X,X,X
OSIZTLJ,O,O,X,X,X,X
OSIZTJL,O,O,X,X,X,X
OSIZLTJ,O,O,X,X,X,X
OSIZLJT,X,O,X,X,X,X
OSIZJTL,X,O,X,X,X,X
OSIZJLT,X,O,X,X,X,X
OSLTIJZ,O,O,O,X,X,X
OSLTIZJ,X,O,X,X,X,X
OSLTJIZ,O,O,O,O,X,X
OSLTJZI,O,O,O,O,X,X
OSLTZIJ,X,O,X,X,X,X
OSLTZJI,X,O,O,O,X,X
OSLITJZ,O,O,O,X,X,X
OSLITZJ,X,O,X,X,X,X
OSLIJTZ,O,O,O,X,X,X
OSLIJZT,X,O,O,X,X,X
OSLIZTJ,O,O,X,X,X,X
OSLIZJT,X,O,X,X,X,X
OSLJTIZ,O,O,O,O,X,X
OSLJTZI,O,O,O,O,X,X
OSLJITZ,O,O,O,O,X,X
OSLJIZT,X,O,O,O,X,X
OSLJZTI,X,O,O,O,X,X
OSLJZIT,X,O,O,O,X,X
OSLZTIJ,O,O,X,X,X,X
OSLZTJI,O,O,O,O,X,X
OSLZITJ,O,O,X,X,X,X
OSLZIJT,X,O,X,X,X,X
OSLZJTI,X,O,O,O,X,X
OSLZJIT,X,O,O,O,X,X
OSJTILZ,O,O,O,O,X,X
OSJTIZL,O,O,X,O,X,X
OSJTLIZ,O,O,O,O,X,X
OSJTLZI,O,O,O,O,X,X
OSJTZIL,O,O,X,O,X,X
OSJTZLI,O,O,X,O,X,X
OSJITLZ,O,O,O,O,X,X
OSJITZL,O,O,X,O,X,X
OSJILTZ,O,O,O,O,X,X
OSJILZT,X,O,O,O,X,X
OSJIZTL,X,O,X,O,X,X
OSJIZLT,X,O,O,O,X,X
OSJLTIZ,O,O,O,O,X,X
OSJLTZI,O,O,O,O,X,X
OSJLITZ,O,O,O,O,X,X
OSJLIZT,X,O,O,O,X,X
OSJLZTI,X,O,O,O,X,X
OSJLZIT,X,O,O,O,X,X
OSJZTIL,X,O,X,O,X,X
OSJZTLI,X,O,X,O,X,X
OSJZITL,X,O,X,O,X,X
OSJZILT,X,O,O,O,X,X
OSJZLTI,X,O,O,O,X,X
OSJZLIT,X,O,O,O,X,X
OSZTILJ,O,O,X,X,X,X
OSZTIJL,O,O,X,X,X,X
OSZTLIJ,O,O,X,X,X,X
OSZTLJI,O,O,X,O,X,X
OSZTJIL,O,O,X,O,X,X
OSZTJLI,O,O,X,O,X,X
OSZITLJ,O,O,X,X,X,X
OSZITJL,O,O,X,X,X,X
OSZILTJ,O,O,X,X,X,X
OSZILJT,X,O,X,X,X,X
OSZIJTL,X,O,X,X,X,X
OSZIJLT,X,O,X,X,X,X
OSZLTIJ,O,O,X,X,X,X
OSZLTJI,O,O,O,O,X,X
OSZLITJ,O,O,X,X,X,X
OSZLIJT,X,O,X,X,X,X
OSZLJTI,X,O,O,O,X,X
OSZLJIT,X,O,O,O,X,X
OSZJTIL,X,O,X,O,X,X
OSZJTLI,X,O,X,O,X,X
OSZJITL,X,O,X,O,X,X
OSZJILT,X,O,O,O,X,X
OSZJLTI,X,O,O,O,X,X
OSZJLIT,X,O,O,O,X,X
OZTILJS,O,O,X,X,X,O
OZTILSJ,O,O,X,X,X,X
OZTIJLS,O,O,X,X,X,O
OZTIJSL,O,O,X,X,X,X
OZTISLJ,O,O,X,X,X,X
OZTISJL,O,O,X,X,X,X
OZTLIJS,O,O,X,X,X,O
OZTLISJ,O,O,X,X,X,X
OZTLJIS,O,O,X,X,O,O
OZTLJSI,O,O,X,X,O,X
OZTLSIJ,O,O,X,X,X,X
OZTLSJI,O,O,X,X,O,X
OZTJILS,O,O,X,X,O,O
OZTJISL,O,O,X,O,O,X
OZTJLIS,O,O,X,X,O,O
OZTJLSI,O,O,X,X,O,X
OZTJSIL,O,O,X,O,O,X
OZTJSLI,O,O,X,O,O,X
OZTSILJ,O,O,X,X,X,X
OZTSIJL,O,O,X,X,X,X
OZTSLIJ,O,O,X,X,X,X
OZTSLJI,O,O,X,O,X,X
OZTSJIL,O,O,X,O,O,X
OZTSJLI,O,O,X,O,O,X
OZITLJS,O,O,X,X,X,O
OZITLSJ,O,O,X,X,X,X
OZITJLS,O,O,X,X,X,O
OZITJSL,O,O,X,X,X,X
OZITSLJ,O,O,X,X,X,X
OZITSJL,O,O,X,X,X,X
OZILTJS,O,O,X,X,X,O
OZILTSJ,O,O,X,X,X,X
OZILJTS,O,O,X,X,X,O
OZILJST,X,O,X,X,X,X
OZILSTJ,O,O,X,X,X,X
OZILSJT,X,O,X,X,X,X
OZIJTLS,O,O,X,X,X,O
OZIJTSL,O,O,X,X,X,X
OZIJLTS,O,O,X,X,X,O
OZIJLST,X,O,X,X,X,X
OZIJSTL,X,O,X,X,X,X
OZIJSLT,X,O,X,X,X,X
OZISTLJ,O,O,X,X,X,X
OZISTJL,O,O,X,X,X,X
OZISLTJ,O,O,X,X,X,X
OZISLJT,X,O,X,X,X,X
OZISJTL,X,O,X,X,X,X
OZISJLT,X,O,X,X,X,X
OZLTIJS,O,O,X,X,X,O
OZLTISJ,O,O,X,X,X,X
OZLTJIS,O,O,O,X,O,O
OZLTJSI,O,O,O,X,O,X
OZLTSIJ,O,O,X,X,X,X
OZLTSJI,O,O,O,X,O,X
OZLITJS,O,O,X,X,X,O
OZLITSJ,O,O,X,X,X,X
OZLIJTS,O,O,X,X,X,O
OZLIJST,X,O,X,X,X,X
OZLISTJ,O,O,X,X,X,X
OZLISJT,X,O,X,X,X,X
OZLJTIS,O,O,O,X,O,O
OZLJTSI,O,O,O,X,O,X
OZLJITS,O,O,O,X,O,O
OZLJIST,X,O,O,X,O,X
OZLJSTI,X,O,O,X,O,X
OZLJSIT,X,O,O,X,O,X
OZLSTIJ,O,O,X,X,X,X
OZLSTJI,O,O,O,X,O,X
OZLSITJ,O,O,X,X,X,X
OZLSIJT,X,O,X,X,X,X
OZLSJTI,X,O,O,X,O,X
OZLSJIT,X,O,O,X,O,X
OZJTILS,O,O,X,X,O,O
OZJTISL,O,O,X,O,O,X
OZJTLIS,O,O,X,X,O,O
OZJTLSI,O,O,X,X,O,X
OZJTSIL,O,O,X,O,O,X
OZJTSLI,O,O,X,O,O,X
OZJITLS,O,O,X,X,O,O
OZJITSL,O,O,X,O,O,X
OZJILTS,O,O,O,X,O,O
OZJILST,X,O,O,X,O,X
OZJISTL,X,O,X,O,O,X
OZJISLT,X,O,O,O,O,X
OZJLTIS,O,O,O,X,O,O
OZJLTSI,O,O,O,X,O,X
OZJLITS,O,O,O,X,O,O
OZJLIST,X,O,O,X,O,X
OZJLSTI,X,O,O,X,O,X
OZJLSIT,X,O,O,X,O,X
OZJSTIL,X,O,X,O,O,X
OZJSTLI,X,O,X,O,O,X
OZJSITL,X,O,X,O,O,X
OZJSILT,X,O,O,O,O,X
OZJSLTI,X,O,O,O,O,X
OZJSLIT,X,O,O,O,O,X
OZSTILJ,O,O,X,X,X,X
OZSTIJL,O,O,X,X,X,X
OZSTLIJ,O,O,X,X,X,X
OZSTLJI,O,O,X,O,X,X
OZSTJIL,O,O,X,O,O,X
OZSTJLI,O,O,X,O,O,X
OZSITLJ,O,O,X,X,X,X
OZSITJL,O,O,X,X,X,X
OZSILTJ,O,O,X,X,X,X
OZSILJT,X,O,X,X,X,X
OZSIJTL,X,O,X,X,X,X
OZSIJLT,X,O,X,X,X,X
OZSLTIJ,O,O,X,X,X,X
OZSLTJI,O,O,O,O,O,X
OZSLITJ,O,O,X,X,X,X
OZSLIJT,X,O,X,X,X,X
OZSLJTI,X,O,O,O,O,X
OZSLJIT,X,O,O,O,O,X
OZSJTIL,X,O,X,O,O,X
OZSJTLI,X,O,X,O,O,X
OZSJITL,X,O,X,O,O,X
OZSJILT,X,O,O,O,O,X
OZSJLTI,X,O,O,O,O,X
OZSJLIT,X,O,O,O,O,X
