sequence,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcB6jBcmBm?iBXnBFtB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcB3dBimBG?oBRsBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhF6hBxdB/nBF?jB2rBctB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFlcBWjBymBX?jBctBxwB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFViBajB5jB0?hB2rBftB,v115@1gB8HeC8EeD8FeD8FeH8AeA8JeT6IvhFxcBcmBXnBO?tB6tBlsB
OJLIZST,X,O,O,X,X,X
OJLSTIZ,X,O,O,X,O,X
OJLSTZI,X,X,O,X,O,X
OJLSITZ,X,O,O,X,O,X
OJLSIZT,X,O,O,X,O,X
OJLSZTI,X,X,O,X,O,O
OJLSZIT,X,X,O,X,O,O
OJLZTIS,X,O,X,X,X,X
OJLZTSI,X,X,O,X,X,X
OJLZITS,X,O,X,X,X,X
OJLZIST,X,O,O,X,X,X
OJLZSTI,X,X,O,X,X,O
OJLZSIT,X,X,O,X,X,O
OJSTILZ,O,X,O,X,O,X
OJSTIZL,O,X,X,X,O,X
OJSTLIZ,O,X,O,X,O,X
OJSTLZI,O,X,O,X,O,X
OJSTZIL,O,X,O,X,O,O
OJSTZLI,O,X,O,X,O,O
OJSITLZ,X,X,O,X,O,X
OJSITZL,X,X,X,X,O,X
OJSILTZ,X,X,O,X,O,X
OJSILZT,O,X,O,X,O,X
OJSIZTL,O,X,O,X,O,O
OJSIZLT,O,X,O,X,O,O
OJSLTIZ,X,O,O,X,O,X
OJSLTZI,O,X,O,X,O,X
OJSLITZ,X,O,O,X,O,X
OJSLIZT,O,O,O,X,O,X
OJSLZTI,O,X,O,X,O,O
OJSLZIT,O,X,O,X,O,O
OJSZTIL,O,X,O,X,O,O
OJSZTLI,O,X,O,X,O,O
OJSZITL,O,X,O,X,O,O
OJSZILT,O,X,O,X,O,O
OJSZLTI,O,X,O,X,O,O
OJSZLIT,O,X,O,X,O,O
OJZTILS,O,X,X,O,X,X
OJZTISL,O,X,O,X,X,X
OJZTLIS,O,X,X,X,X,X
OJZTLSI,O,X,O,X,X,X
OJZTSIL,O,X,O,X,X,O
OJZTSLI,O,X,O,X,X,O
OJZITLS,O,X,X,O,X,X
OJZITSL,O,X,X,X,X,X
OJZILTS,X,X,X,O,X,X
OJZILST,X,X,O,O,X,X
OJZISTL,O,X,O,X,O,O
OJZISLT,O,X,O,O,O,O
OJZLTIS,X,O,X,X,X,X
OJZLTSI,X,X,O,X,X,X
OJZLITS,X,O,X,O,X,X
OJZLIST,X,O,O,O,X,X
OJZLSTI,X,X,O,X,X,O
OJZLSIT,X,X,O,X,X,O
OJZSTIL,O,X,O,X,O,O
OJZSTLI,O,X,O,X,O,O
OJZSITL,O,X,O,X,O,O
OJZSILT,O,X,O,O,O,O
OJZSLTI,O,X,O,X,O,O
OJZSLIT,O,X,O,X,O,O
OSTILJZ,O,O,X,X,O,X
OSTILZJ,O,X,O,O,O,X
OSTIJLZ,O,X,X,X,O,X
OSTIJZL,O,X,X,X,O,X
OSTIZLJ,O,X,X,O,O,X
OSTIZJL,O,X,X,X,X,X
OSTLIJZ,O,O,X,X,O,X
OSTLIZJ,O,X,O,X,O,X
OSTLJIZ,O,O,X,X,O,X
OSTLJZI,O,X,X,X,O,X
OSTLZIJ,O,X,O,X,O,X
OSTLZJI,O,X,O,X,X,X
OSTJILZ,O,X,X,X,O,X
OSTJIZL,O,X,X,X,O,X
OSTJLIZ,O,X,X,X,O,X
OSTJLZI,O,X,X,X,O,X
OSTJZIL,O,X,X,X,O,O
OSTJZLI,O,X,X,X,O,O
OSTZILJ,O,X,O,O,O,X
OSTZIJL,O,X,O,X,X,O
OSTZLIJ,O,X,O,X,O,X
OSTZLJI,O,X,O,X,X,X
OSTZJIL,O,X,O,X,X,O
OSTZJLI,O,X,O,X,X,O
OSITLJZ,O,O,X,X,O,X
OSITLZJ,O,X,O,O,O,X
OSITJLZ,O,X,X,X,O,X
OSITJZL,O,X,X,X,O,X
OSITZLJ,O,X,X,O,O,X
OSITZJL,O,X,X,X,X,X
OSILTJZ,X,O,X,X,O,X
OSILTZJ,X,X,O,O,O,X
OSILJTZ,X,O,X,X,O,X
OSILJZT,X,O,O,X,O,X
OSILZTJ,X,X,O,O,O,X
OSILZJT,X,X,O,O,O,X
OSIJTLZ,X,X,X,X,O,X
OSIJTZL,X,X,X,X,O,X
OSIJLTZ,X,X,X,X,O,X
OSIJLZT,O,X,O,X,O,X
OSIJZTL,O,X,X,X,O,O
OSIJZLT,O,X,X,X,O,O
OSIZTLJ,O,X,O,O,O,X
OSIZTJL,O,X,O,X,X,O
OSIZLTJ,O,X,O,O,O,X
OSIZLJT,O,X,O,O,O,O
OSIZJTL,O,X,X,X,O,O
OSIZJLT,O,X,O,O,O,O
OSLTIJZ,O,O,X,X,O,X
OSLTIZJ,O,X,O,X,O,X
OSLTJIZ,O,O,X,X,O,X
OSLTJZI,O,X,X,X,O,X
OSLTZIJ,O,X,O,X,O,X
OSLTZJI,O,X,O,X,X,X
OSLITJZ,X,O,X,X,O,X
OSLITZJ,X,X,O,X,O,X
OSLIJTZ,X,O,X,X,O,X
OSLIJZT,X,O,O,X,O,X
OSLIZTJ,X,X,O,X,O,X
OSLIZJT,X,X,O,X,O,X
OSLJTIZ,X,O,O,X,O,X
OSLJTZI,O,X,O,X,O,X
OSLJITZ,X,O,O,X,O,X
OSLJIZT,O,O,O,X,O,X
OSLJZTI,O,X,O,X,O,O
OSLJZIT,O,X,O,X,O,O
OSLZTIJ,O,X,O,X,O,X
OSLZTJI,O,X,O,X,X,X
OSLZITJ,O,X,O,X,O,X
OSLZIJT,O,X,O,X,O,O
OSLZJTI,O,X,O,X,O,O
OSLZJIT,O,X,O,X,O,O
OSJTILZ,O,X,O,X,O,X
OSJTIZL,O,X,X,X,O,X
OSJTLIZ,O,X,O,X,O,X
OSJTLZI,O,X,O,X,O,X
OSJTZIL,O,X,O,X,O,O
OSJTZLI,O,X,O,X,O,O
OSJITLZ,X,X,O,X,O,X
OSJITZL,X,X,X,X,O,X
OSJILTZ,X,X,O,X,O,X
OSJILZT,O,X,O,X,O,X
OSJIZTL,O,X,O,X,O,O
OSJIZLT,O,X,O,X,O,O
OSJLTIZ,X,O,O,X,O,X
OSJLTZI,O,X,O,X,O,X
OSJLITZ,X,O,O,X,O,X
OSJLIZT,O,O,O,X,O,X
OSJLZTI,O,X,O,X,O,O
OSJLZIT,O,X,O,X,O,O
OSJZTIL,O,X,O,X,O,O
OSJZTLI,O,X,O,X,O,O
OSJZITL,O,X,O,X,O,O
OSJZILT,O,X,O,X,O,O
OSJZLTI,O,X,O,X,O,O
OSJZLIT,O,X,O,X,O,O
OSZTILJ,O,X,O,O,O,X
OSZTIJL,O,X,O,X,X,O
OSZTLIJ,O,X,O,X,O,X
OSZTLJI,O,X,O,X,X,X
OSZTJIL,O,X,O,X,X,O
OSZTJLI,O,X,O,X,X,O
OSZITLJ,O,X,O,O,O,X
OSZITJL,O,X,O,X,X,O
OSZILTJ,O,X,O,O,O,X
OSZILJT,O,X,O,O,O,O
OSZIJTL,O,X,X,X,O,O
OSZIJLT,O,X,O,O,O,O
OSZLTIJ,O,X,O,X,O,X
OSZLTJI,O,X,O,X,X,X
OSZLITJ,O,X,O,X,O,X
OSZLIJT,O,X,O,X,O,O
OSZLJTI,O,X,O,X,O,O
OSZLJIT,O,X,O,X,O,O
OSZJTIL,O,X,O,X,O,O
OSZJTLI,O,X,O,X,O,O
OSZJITL,O,X,O,X,O,O
OSZJILT,O,X,O,O,O,O
OSZJLTI,O,X,O,X,O,O
OSZJLIT,O,X,O,X,O,O
OZTILJS,O,O,X,O,X,X
OZTILSJ,O,X,O,O,X,X
OZTIJLS,O,X,X,O,X,X
OZTIJSL,O,X,O,X,X,X
OZTISLJ,O,X,O,O,X,X
OZTISJL,O,X,O,X,X,O
OZTLIJS,O,O,X,O,X,X
OZTLISJ,O,X,O,O,X,X
OZTLJIS,O,O,X,X,X,X
OZTLJSI,O,X,O,X,X,X
OZTLSIJ,O,X,O,X,X,X
OZTLSJI,O,X,O,X,X,X
OZTJILS,O,X,X,O,X,X
OZTJISL,O,X,O,X,X,X
OZTJLIS,O,X,X,X,X,X
OZTJLSI,O,X,O,X,X,X
OZTJSIL,O,X,O,X,X,O
OZTJSLI,O,X,O,X,X,O
OZTSILJ,O,X,O,O,X,X
OZTSIJL,O,X,O,X,X,O
OZTSLIJ,O,X,O,X,X,X
OZTSLJI,O,X,O,X,X,X
OZTSJIL,O,X,O,X,X,O
OZTSJLI,O,X,O,X,X,O
OZITLJS,O,O,X,O,X,X
OZITLSJ,O,X,O,O,X,X
OZITJLS,O,X,X,O,X,X
OZITJSL,O,X,O,X,X,X
OZITSLJ,O,X,O,O,X,X
OZITSJL,O,X,O,X,X,O
OZILTJS,O,O,X,O,X,X
OZILTSJ,O,X,X,O,X,X
OZILJTS,X,O,X,O,X,X
OZILJST,X,O,O,O,X,X
OZILSTJ,O,X,O,O,X,X
OZILSJT,O,X,O,O,X,O
OZIJTLS,O,X,X,O,X,X
OZIJTSL,O,X,X,X,X,X
OZIJLTS,X,X,X,O,X,X
OZIJLST,X,X,O,O,X,X
OZIJSTL,O,X,O,X,O,O
OZIJSLT,O,X,O,O,O,O
OZISTLJ,O,X,O,O,O,X
OZISTJL,O,X,O,X,X,O
OZISLTJ,O,X,O,O,O,X
OZISLJT,O,X,O,O,O,O
OZISJTL,O,X,X,X,O,O
OZISJLT,O,X,O,O,O,O
OZLTIJS,O,O,X,O,X,X
OZLTISJ,O,X,O,O,X,X
OZLTJIS,O,O,X,X,X,X
OZLTJSI,O,X,O,X,X,X
OZLTSIJ,O,X,O,X,X,X
OZLTSJI,O,X,O,X,X,X
OZLITJS,O,O,X,O,X,X
OZLITSJ,O,X,X,O,X,X
OZLIJTS,X,O,X,O,X,X
OZLIJST,X,O,O,O,X,X
OZLISTJ,O,X,O,O,X,X
OZLISJT,O,X,O,O,X,O
OZLJTIS,X,O,X,X,X,X
OZLJTSI,X,X,O,X,X,X
OZLJITS,X,O,X,O,X,X
OZLJIST,X,O,O,O,X,X
OZLJSTI,X,X,O,X,X,O
OZLJSIT,X,X,O,X,X,O
OZLSTIJ,O,X,O,X,X,X
OZLSTJI,O,X,O,X,X,X
OZLSITJ,O,X,O,X,X,X
OZLSIJT,O,X,O,X,X,O
OZLSJTI,O,X,O,X,X,O
OZLSJIT,O,X,O,X,X,O
OZJTILS,O,X,X,O,X,X
OZJTISL,O,X,O,X,X,X
OZJTLIS,O,X,X,X,X,X
OZJTLSI,O,X,O,X,X,X
OZJTSIL,O,X,O,X,X,O
OZJTSLI,O,X,O,X,X,O
OZJITLS,O,X,X,O,X,X
OZJITSL,O,X,X,X,X,X
OZJILTS,X,X,X,O,X,X
OZJILST,X,X,O,O,X,X
OZJISTL,O,X,O,X,O,O
OZJISLT,O,X,O,O,O,O
OZJLTIS,X,O,X,X,X,X
OZJLTSI,X,X,O,X,X,X
OZJLITS,X,O,X,O,X,X
OZJLIST,X,O,O,O,X,X
OZJLSTI,X,X,O,X,X,O
OZJLSIT,X,X,O,X,X,O
OZJSTIL,O,X,O,X,O,O
OZJSTLI,O,X,O,X,O,O
OZJSITL,O,X,O,X,O,O
OZJSILT,O,X,O,O,O,O
OZJSLTI,O,X,O,X,O,O
OZJSLIT,O,X,O,X,O,O
OZSTILJ,O,X,O,O,O,X
OZSTIJL,O,X,O,X,X,O
OZSTLIJ,O,X,O,X,O,X
OZSTLJI,O,X,O,X,X,X
OZSTJIL,O,X,O,X,X,O
OZSTJLI,O,X,O,X,X,O
OZSITLJ,O,X,O,O,O,X
OZSITJL,O,X,O,X,X,O
OZSILTJ,O,X,O,O,O,X
OZSILJT,O,X,O,O,O,O
OZSIJTL,O,X,X,X,O,O
OZSIJLT,O,X,O,O,O,O
OZSLTIJ,O,X,O,X,O,X
OZSLTJI,O,X,O,X,X,X
OZSLITJ,O,X,O,X,O,X
OZSLIJT,O,X,O,X,O,O
OZSLJTI,O,X,O,X,O,O
OZSLJIT,O,X,O,X,O,O
OZSJTIL,O,X,O,X,O,O
OZSJTLI,O,X,O,X,O,O
OZSJITL,O,X,O,X,O,O
OZSJILT,O,X,O,O,O,O
OZSJLTI,O,X,O,X,O,O
OZSJLIT,O,X,O,X,O,O
